input,output,type,length_category,id
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),23
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),24
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),25
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),26
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),27
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),28
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),29
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),30
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),31
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),32
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),33
мой друг пригласил меня на свой день рождения в субботу,мой друг пригласил меня на свой день рождения в субботу,грамматика,средний (51-200),34
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),35
солнце светит,солнце светит,без изменений,короткий (10-50),36
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),37
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),38
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),39
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),40
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),41
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),42
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),43
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),44
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),45
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),46
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),47
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),48
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),49
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),50
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),51
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),52
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),53
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),54
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),55
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),56
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),57
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),58
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),59
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),60
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),61
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),62
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),63
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),64
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),65
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),66
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),67
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),68
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),69
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),70
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),71
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),72
мой друг пригласил меня на свой день рождения в субботу,мой друг пригласил меня на свой день рождения в субботу,грамматика,средний (51-200),73
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),74
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),75
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),76
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),77
"у меня дома живет пушистый кот, который любит спать на диване","у меня дома живет пушистый кот, который любит спать на диване",грамматика,средний (51-200),78
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),79
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),80
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),81
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),82
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),83
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),84
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),85
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),86
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),87
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),88
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),89
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),90
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),91
вчера я смотрел интересный фильм про космос,вчера я смотрел интересный фильм про космос,грамматика,короткий (10-50),92
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),93
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),94
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),95
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),96
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),97
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),98
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),99
малако вкусное,молоко вкусное,орфография,короткий (10-50),100
